Chapter,Poem,Poem_Sub_Ctgry,Poem_Title,Original_Text,Kunyomi_Reading,Kana_Transcription,Notes,Textual_Varients,Matter,Reading_Varient,Kana_len1,Kana_len2
1,1,1,雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌,篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母,篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも,こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも,なし,雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古],雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良,"こもよ[寛],
みこもち[寛],
ふくしもよ[寛],
みぶくしもち,[寛]みふくしもち,
このをかに[寛],
なつますこ,[寛]なつむすこ,
いへきかな[寛],
のらさね,[寛]つけさね,
そらみつ[寛],
やまとのくには[寛],
おしなべて,[寛]おしなへて,
われこそをれ,[寛]われこそをらし,
しきなべて,[寛]つけなへて,
われこそませ[略],[寛]われこそをらし,
われこそば,[寛]われこそは,
のらめ,[寛]せなにはつけめ,
いへをもなをも[寛],",85,85
1,2,2,高市岡本宮御宇天皇代 [息長足日廣額天皇] / 天皇登香具山望國之時御製歌,山常庭 村山有等 取與呂布 天乃香具山 騰立 國見乎為者 國原波 煙立龍 海原波 加萬目立多都 怜Ａ國曽 蜻嶋 八間跡能國者,大和には 群山あれど とりよろふ 天の香具山 登り立ち 国見をすれば 国原は 煙立ち立つ 海原は 鴎立ち立つ うまし国ぞ 蜻蛉島 大和の国は,やまとには むらやまあれど とりよろふ あめのかぐやま のぼりたち くにみをすれば くにはらは けぶりたちたつ うなはらは かまめたちたつ うましくにぞ あきづしま やまとのくには,なし,なし,雑歌 作者：舒明天皇 飛鳥 国見 予祝 枕詞 地名 動物 奈良 土地讃美 寿歌,"やまとには[寛],
むらやまあれど,[寛]むらやまあれと,
とりよろふ[寛],
あめのかぐやま,[寛]あまのかくやま,
のぼりたち,[寛]のほりたち,
くにみをすれば,[寛]くにみをすれは,
くにはらは[寛],
けぶりたちたつ,[寛]けふりたちたつ,
うなはらは[寛],
かまめたちたつ[寛],
うましくにぞ,[寛]おもしろきくにそ,
あきづしま,[寛]あきつしま,
やまとのくには[寛],",78,90
1,3,3,天皇遊猟内野之時中皇命使間人連老獻歌,八隅知之 我大王乃 朝庭 取撫賜 夕庭 伊縁立之 御執乃 梓弓之 奈加弭乃 音為奈利 朝猟尓 今立須良思 暮猟尓 今他田渚良之 御執<能> <梓>弓之 奈加弭乃 音為奈里,やすみしし 我が大君の 朝には 取り撫でたまひ 夕には い寄り立たしし み執らしの 梓の弓の 中弭の 音すなり 朝猟に 今立たすらし 夕猟に 今立たすらし み執らしの 梓の弓の 中弭の 音すなり,やすみしし わがおほきみの あしたには とりなでたまひ ゆふへには いよりたたしし みとらしの あづさのゆみの なかはずの おとすなり あさがりに いまたたすらし ゆふがりに いまたたすらし みとらしの あづさのゆみの なかはずの おとすなり,なし,梓能 -> 能梓 [元],雑歌 作者：中皇命：間人老 五条市 代作 弓讃姤 狩猟 宴席 地名 枕詞 寿歌,"やすみしし[寛],
わがおほきみの,[寛]わかおほきみの,
あしたには[寛],
とりなでたまひ,[寛]とりなてたまひ,
ゆふへには,[寛]ゆふへに,
いよりたたしし,[寛]いよせたててし,
みとらしの[寛],
あづさのゆみの,[寛]あつさのゆみの,
なかはずの,[寛]なかはすの,
おとすなり[寛],
あさがりに,[寛]あさかりに,
いまたたすらし[寛],
ゆふがりに,[寛]ゆふかりに,
いまたたすらし[寛],
みとらしの[寛],
あづさのゆみの,[寛]あつさのゆみの,
なかはずの,[寛]なかはすの,
おとすなり[寛],",104,121
1,4,4,（天皇遊猟内野之時中皇命使間人連老獻歌）反歌,玉尅春 内乃大野尓 馬數而 朝布麻須等六 其草深野,たまきはる 宇智の大野に 馬並めて 朝踏ますらむ その草深野,たまきはる うちのおほのに うまなめて あさふますらむ そのくさふかの,なし,尅 (塙)(楓) 剋,雑歌 作者：中皇命：間人老 五条市 代作 弓讃姤 狩猟 宴席 地名,"たまきはる[寛],
うちのおほのに[寛],
うまなめて[寛],
あさふますらむ[寛],
そのくさふかの,[寛]そのくさふけの,",31,35
1,5,5,幸讃岐國安益郡之時軍王見山作歌,霞立 長春日乃 晩家流 和豆肝之良受 村肝乃 心乎痛見 奴要子鳥 卜歎居者 珠手次 懸乃宜久 遠神 吾大王乃 行幸能 山越風乃 獨<座> 吾衣手尓 朝夕尓 還比奴礼婆 大夫登 念有我母 草枕 客尓之有者 思遣 鶴寸乎白土 網能浦之 海處女等之 焼塩乃 念曽所焼 吾下情,霞立つ 長き春日の 暮れにける わづきも知らず むらきもの 心を痛み ぬえこ鳥 うら泣け居れば 玉たすき 懸けのよろしく 遠つ神 我が大君の 行幸の 山越す風の ひとり居る 我が衣手に 朝夕に 返らひぬれば 大夫と 思へる我れも 草枕 旅にしあれば 思ひ遣る たづきを知らに 網の浦の 海人娘子らが 焼く塩の 思ひぞ焼くる 我が下心,かすみたつ ながきはるひの くれにける わづきもしらず むらきもの こころをいたみ ぬえこどり うらなけをれば たまたすき かけのよろしく とほつかみ わがおほきみの いでましの やまこすかぜの ひとりをる わがころもでに あさよひに かへらひぬれば ますらをと おもへるわれも くさまくら たびにしあれば おもひやる たづきをしらに あみのうらの あまをとめらが やくしほの おもひぞやくる わがしたごころ,（右檢日本書紀 無幸於讃岐國 亦軍王未詳也 但山上憶良大夫類聚歌林曰 記曰 天皇十一年己亥冬十二月己巳朔壬午幸于伊<与>温湯宮[云々] 一<書> 是時 宮前在二樹木 此之二樹斑鳩比米二鳥大集 時勅多挂稲穂而養之 乃作歌[云々] 若疑従此便幸之歟）,懸 [元][類][紀] 縣 / 居 -> 座 [元][類][古],雑歌 作者：軍王 望郷 香川 行幸 羈旅 大夫 枕詞 地名,"かすみたつ[寛],
ながきはるひの,[寛]なかきはるひの,
くれにける[寛],
わづきもしらず,[寛]わつきもしらす,
むらきもの[寛],
こころをいたみ[寛],
ぬえこどり,[寛]ぬえことり,
うらなけをれば[寛],
たまたすき[寛],
かけのよろしく[寛],
とほつかみ[寛],
わがおほきみの,[寛]わかおほきみの,
いでましの,[寛]みゆきの,
やまこすかぜの,[寛]やまこしのかせの,
ひとりをる[寛],
わがころもでに,[寛]わかころもてに,
あさよひに,[寛]あさゆふに,
かへらひぬれば,[寛]かへらひぬれは,
ますらをと[寛],
おもへるわれも[寛],
くさまくら[寛],
たびにしあれば,[寛]たひにしあれは,
おもひやる[寛],
たづきをしらに,[寛]たつきをしらに,
あみのうらの[寛],
あまをとめらが,[寛]あまをとめらか,
やくしほの[寛],
おもひぞやくる,[寛]おもいそやくる,
わがしたごころ,[寛]わかしたこころ,",176,204
1,6,6,（讃岐國安益郡之時軍王見山作歌）反歌,山越乃 風乎時自見 寐<夜>不落 家在妹乎 懸而小竹櫃,山越しの 風を時じみ 寝る夜おちず 家なる妹を 懸けて偲ひつ,やまごしの かぜをときじみ ぬるよおちず いへなるいもを かけてしのひつ,右檢日本書紀 無幸於讃岐國 亦軍王未詳也 但山上憶良大夫類聚歌林曰 記曰 天皇十一年己亥冬十二月己巳朔壬午幸于伊<与>温湯宮[云々] 一<書> 是時 宮前在二樹木 此之二樹斑鳩比米二鳥大集 時勅多挂稲穂而養之 乃作歌[云々] 若疑従此便幸之歟,<> -> 夜 [西（右書）][元][類][冷] / 豫 -> 与 [元][類][古] / 書云 -> 書 [元][類][紀] / 乃 [元][紀] 仍,雑歌 作者：軍王 望郷 香川 行幸 羈旅 大夫 地名,"やまごしの,[寛]やまこしの,
かぜをときじみ,[寛]かせをときしみ,
ぬるよおちず,[寛]ぬるよおちす,
いへなるいもを,[寛]いへあるいもを,
かけてしのひつ[寛],",32,36
1,7,7,明日香川原宮御宇天皇代 [天豊財重日足姫天皇] / 額田王歌 [未詳],金野乃 美草苅葺 屋杼礼里之 兎道乃宮子能 借五百礒所念,秋の野 のみ草刈り葺き 宿れりし 宇治の宮処 の仮廬し思ほゆ,あきののの みくさかりふき やどれりし うぢのみやこの かりいほしおもほゆ,右檢山上憶良大夫類聚歌林曰 一書戊申年幸比良宮大御歌 但紀曰 五年春正月己卯朔辛巳天皇至自紀温湯 三月戊寅朔天皇幸吉野宮而肆宴焉 庚辰日天皇幸近江之平浦,辰 [元][冷] 辰ﾑ,雑歌 作者：額田王 京都 回想 羈旅 地名,"あきののの[寛],
みくさかりふき[寛],
やどれりし,[寛]やとれりし,
うぢのみやこの,[寛]うちのみやこの,
かりいほしおもほゆ,[寛]かりいほしそおもふ,",33,37
1,8,8,後岡本宮御宇天皇代 [天豊財重日足姫天皇位後即位後岡本宮] / 額田王歌,熟田津尓 船乗世武登 月待者 潮毛可奈比沼 今者許藝乞菜,熟田津に 船乗りせむと 月待てば 潮もかなひぬ 今は漕ぎ出でな,にぎたつに ふなのりせむと つきまてば しほもかなひぬ いまはこぎいでな,右檢山上憶良大夫類聚歌林曰 飛鳥岡本宮御宇天皇元年己丑九年丁<酉>十二月己巳朔壬午天皇大后幸于伊豫湯宮 後岡本宮馭宇天皇七年辛酉春正月丁酉朔<壬>寅御船西征 始就于海路 庚戌御船泊于伊豫熟田津石湯行宮 天皇御覧昔日猶存之物 當時忽起感愛之情 所以因製歌詠為之哀傷也 即此歌者天皇御製焉 但額田王歌者別有四首,即位 [元][冷][紀]（塙） 即 / 酋 -> 酉 [元][冷][紀] / 丙 -> 壬 [西（右書）][紀],雑歌 作者：額田王 道後温泉 愛媛 舟遊び 熟田津 代作 地名,"にぎたつに,[寛]にきたつに,
ふなのりせむと[寛],
つきまてば,[寛]つきまては,
しほもかなひぬ[寛],
いまはこぎいでな,[寛]いまはこきこな,",32,36
1,9,9,幸于紀温泉之時額田王作歌,莫囂圓隣之大相七兄爪謁氣 吾瀬子之 射立為兼 五可新何本,莫囂円隣之 大相七兄爪謁 気我が背子 がい立たせり けむ厳橿が本,***** ******* わがせこが いたたせりけむ いつかしがもと,なし,謁 [元][類][紀] 湯,雑歌 作者：額田王 紀州 和歌山 難訓 厳橿 斎橿 植物,"*****,[寛]ゆふつきの,
*******,[寛]あふきてとひし,
わがせこが,[寛]わかせこか,
いたたせりけむ,[寛]いたたせるかね,
いつかしがもと,[寛]いつかあはなむ,",31,35
1,10,10,中皇命徃于紀温泉之時御歌,君之齒母 吾代毛所知哉 磐代乃 岡之草根乎 去来結手名,君が代も 我が代も知る や岩代の 岡の草根を いざ結びてな,きみがよも わがよもしるや いはしろの をかのくさねを いざむすびてな,（右檢山上憶良大夫類聚歌林曰 天皇御製歌[云々]）,磐 [元][冷][古] 盤,雑歌 作者：中皇命：間人皇女 紀州 和歌山 羈旅 異伝 手向醎 植物,"きみがよも,[寛]きみかよも,
わがよもしるや,[寛]わかよもしれや,
いはしろの[寛],
をかのくさねを[寛],
いざむすびてな,[寛]いさむすひてな,",31,35
